"";"x"
"495";"ENSMUSG00000002847"
"496";"ENSMUSG00000002870"
"497";"ENSMUSG00000002871"
"498";"ENSMUSG00000002881"
"499";"ENSMUSG00000002885"
"500";"ENSMUSG00000002897"
"501";"ENSMUSG00000002900"
"502";"ENSMUSG00000002908"
"503";"ENSMUSG00000002910"
"504";"ENSMUSG00000002930"
"505";"ENSMUSG00000002944"
"506";"ENSMUSG00000002948"
"507";"ENSMUSG00000002949"
"508";"ENSMUSG00000002957"
"509";"ENSMUSG00000002963"
"510";"ENSMUSG00000002968"
"511";"ENSMUSG00000002980"
"512";"ENSMUSG00000002981"
"513";"ENSMUSG00000002983"
"514";"ENSMUSG00000002984"
"515";"ENSMUSG00000002985"
"516";"ENSMUSG00000002992"
"517";"ENSMUSG00000002996"
"518";"ENSMUSG00000002997"
"519";"ENSMUSG00000003031"
"520";"ENSMUSG00000003032"
"521";"ENSMUSG00000003033"
"522";"ENSMUSG00000003037"
"523";"ENSMUSG00000003038"
"524";"ENSMUSG00000003039"
"525";"ENSMUSG00000003051"
"526";"ENSMUSG00000003053"
"527";"ENSMUSG00000003062"
"528";"ENSMUSG00000003068"
"529";"ENSMUSG00000003070"
"530";"ENSMUSG00000003072"
"531";"ENSMUSG00000003099"
"532";"ENSMUSG00000003119"
"533";"ENSMUSG00000003123"
"534";"ENSMUSG00000003131"
"535";"ENSMUSG00000003134"
"536";"ENSMUSG00000003135"
"537";"ENSMUSG00000003153"
"538";"ENSMUSG00000003154"
"539";"ENSMUSG00000003161"
"540";"ENSMUSG00000003166"
"541";"ENSMUSG00000003178"
"542";"ENSMUSG00000003184"
"543";"ENSMUSG00000003190"
"544";"ENSMUSG00000003198"
"545";"ENSMUSG00000003199"
"546";"ENSMUSG00000003200"
"547";"ENSMUSG00000003206"
"548";"ENSMUSG00000003208"
"549";"ENSMUSG00000003226"
"550";"ENSMUSG00000003227"
"551";"ENSMUSG00000003228"
"552";"ENSMUSG00000003233"
"553";"ENSMUSG00000003234"
"554";"ENSMUSG00000003235"
"555";"ENSMUSG00000003269"
"556";"ENSMUSG00000003271"
"557";"ENSMUSG00000003273"
"558";"ENSMUSG00000003279"
"559";"ENSMUSG00000003282"
"560";"ENSMUSG00000003283"
"561";"ENSMUSG00000003299"
"562";"ENSMUSG00000003308"
"563";"ENSMUSG00000003309"
"564";"ENSMUSG00000003316"
"565";"ENSMUSG00000003341"
"566";"ENSMUSG00000003344"
"567";"ENSMUSG00000003345"
"568";"ENSMUSG00000003346"
"569";"ENSMUSG00000003348"
"570";"ENSMUSG00000003352"
"571";"ENSMUSG00000003354"
"572";"ENSMUSG00000003355"
"573";"ENSMUSG00000003360"
"574";"ENSMUSG00000003363"
"575";"ENSMUSG00000003378"
"576";"ENSMUSG00000003379"
"577";"ENSMUSG00000003380"
"578";"ENSMUSG00000003382"
"579";"ENSMUSG00000003402"
"580";"ENSMUSG00000003410"
"581";"ENSMUSG00000003411"
"582";"ENSMUSG00000003418"
"583";"ENSMUSG00000003420"
"584";"ENSMUSG00000003421"
"585";"ENSMUSG00000003423"
"586";"ENSMUSG00000003429"
"587";"ENSMUSG00000003435"
"588";"ENSMUSG00000003436"
"589";"ENSMUSG00000003437"
"590";"ENSMUSG00000003438"
"591";"ENSMUSG00000003444"
"592";"ENSMUSG00000003452"
"593";"ENSMUSG00000003458"
"594";"ENSMUSG00000003464"
"595";"ENSMUSG00000003469"
"596";"ENSMUSG00000003476"
"597";"ENSMUSG00000003477"
"598";"ENSMUSG00000003484"
"599";"ENSMUSG00000003500"
"600";"ENSMUSG00000003505"
"601";"ENSMUSG00000003518"
"602";"ENSMUSG00000003526"
"603";"ENSMUSG00000003527"
"604";"ENSMUSG00000003528"
"605";"ENSMUSG00000003531"
"606";"ENSMUSG00000003534"
"607";"ENSMUSG00000003541"
"608";"ENSMUSG00000003545"
"609";"ENSMUSG00000003546"
"610";"ENSMUSG00000003549"
"611";"ENSMUSG00000003555"
"612";"ENSMUSG00000003559"
"613";"ENSMUSG00000003573"
"614";"ENSMUSG00000003575"
"615";"ENSMUSG00000003581"
"616";"ENSMUSG00000003585"
"617";"ENSMUSG00000003604"
"618";"ENSMUSG00000003617"
"619";"ENSMUSG00000003623"
"620";"ENSMUSG00000003644"
"621";"ENSMUSG00000003657"
"622";"ENSMUSG00000003660"
"623";"ENSMUSG00000003662"
"624";"ENSMUSG00000003665"
"625";"ENSMUSG00000003680"
"626";"ENSMUSG00000003721"
"627";"ENSMUSG00000003731"
"628";"ENSMUSG00000003746"
"629";"ENSMUSG00000003752"
"630";"ENSMUSG00000003762"
"631";"ENSMUSG00000003778"
"632";"ENSMUSG00000003779"
"633";"ENSMUSG00000003808"
"634";"ENSMUSG00000003809"
"635";"ENSMUSG00000003810"
"636";"ENSMUSG00000003812"
"637";"ENSMUSG00000003813"
"638";"ENSMUSG00000003814"
"639";"ENSMUSG00000003824"
"640";"ENSMUSG00000003847"
"641";"ENSMUSG00000003848"
"642";"ENSMUSG00000003849"
"643";"ENSMUSG00000003863"
"644";"ENSMUSG00000003865"
"645";"ENSMUSG00000003868"
"646";"ENSMUSG00000003872"
"647";"ENSMUSG00000003873"
"648";"ENSMUSG00000003882"
"649";"ENSMUSG00000003923"
"650";"ENSMUSG00000003929"
"651";"ENSMUSG00000003934"
"652";"ENSMUSG00000003948"
"653";"ENSMUSG00000003949"
"654";"ENSMUSG00000003955"
"655";"ENSMUSG00000003970"
"656";"ENSMUSG00000003974"
"657";"ENSMUSG00000003992"
"658";"ENSMUSG00000004018"
"659";"ENSMUSG00000004031"
"660";"ENSMUSG00000004032"
"661";"ENSMUSG00000004035"
"662";"ENSMUSG00000004038"
"663";"ENSMUSG00000004040"
"664";"ENSMUSG00000004043"
"665";"ENSMUSG00000004044"
"666";"ENSMUSG00000004054"
"667";"ENSMUSG00000004056"
"668";"ENSMUSG00000004069"
"669";"ENSMUSG00000004070"
"670";"ENSMUSG00000004071"
"671";"ENSMUSG00000004085"
"672";"ENSMUSG00000004096"
"673";"ENSMUSG00000004098"
"674";"ENSMUSG00000004099"
"675";"ENSMUSG00000004100"
"676";"ENSMUSG00000004105"
"677";"ENSMUSG00000004110"
"678";"ENSMUSG00000004113"
"679";"ENSMUSG00000004127"
"680";"ENSMUSG00000004151"
"681";"ENSMUSG00000004187"
"682";"ENSMUSG00000004207"
"683";"ENSMUSG00000004221"
"684";"ENSMUSG00000004231"
"685";"ENSMUSG00000004233"
"686";"ENSMUSG00000004263"
"687";"ENSMUSG00000004264"
"688";"ENSMUSG00000004266"
"689";"ENSMUSG00000004267"
"690";"ENSMUSG00000004268"
"691";"ENSMUSG00000004270"
"692";"ENSMUSG00000004285"
"693";"ENSMUSG00000004296"
"694";"ENSMUSG00000004317"
"695";"ENSMUSG00000004319"
"696";"ENSMUSG00000004328"
"697";"ENSMUSG00000004341"
"698";"ENSMUSG00000004344"
"699";"ENSMUSG00000004347"
"700";"ENSMUSG00000004356"
"701";"ENSMUSG00000004359"
"702";"ENSMUSG00000004360"
"703";"ENSMUSG00000004364"
"704";"ENSMUSG00000004366"
"705";"ENSMUSG00000004371"
"706";"ENSMUSG00000004383"
"707";"ENSMUSG00000004393"
"708";"ENSMUSG00000004394"
"709";"ENSMUSG00000004415"
"710";"ENSMUSG00000004446"
"711";"ENSMUSG00000004451"
"712";"ENSMUSG00000004455"
"713";"ENSMUSG00000004460"
"714";"ENSMUSG00000004462"
"715";"ENSMUSG00000004473"
"716";"ENSMUSG00000004500"
"717";"ENSMUSG00000004508"
"718";"ENSMUSG00000004530"
"719";"ENSMUSG00000004535"
"720";"ENSMUSG00000004540"
"721";"ENSMUSG00000004542"
"722";"ENSMUSG00000004552"
"723";"ENSMUSG00000004558"
"724";"ENSMUSG00000004561"
"725";"ENSMUSG00000004562"
"726";"ENSMUSG00000004565"
"727";"ENSMUSG00000004567"
"728";"ENSMUSG00000004568"
"729";"ENSMUSG00000004591"
"730";"ENSMUSG00000004609"
"731";"ENSMUSG00000004610"
"732";"ENSMUSG00000004612"
"733";"ENSMUSG00000004613"
"734";"ENSMUSG00000004626"
"735";"ENSMUSG00000004630"
"736";"ENSMUSG00000004631"
"737";"ENSMUSG00000004633"
"738";"ENSMUSG00000004637"
"739";"ENSMUSG00000004642"
"740";"ENSMUSG00000004651"
"741";"ENSMUSG00000004654"
"742";"ENSMUSG00000004655"
"743";"ENSMUSG00000004661"
"744";"ENSMUSG00000004665"
"745";"ENSMUSG00000004667"
"746";"ENSMUSG00000004668"
"747";"ENSMUSG00000004677"
"748";"ENSMUSG00000004698"
"749";"ENSMUSG00000004707"
"750";"ENSMUSG00000004709"
"751";"ENSMUSG00000004730"
"752";"ENSMUSG00000004748"
"753";"ENSMUSG00000004768"
"754";"ENSMUSG00000004771"
"755";"ENSMUSG00000004788"
"756";"ENSMUSG00000004789"
"757";"ENSMUSG00000004791"
"758";"ENSMUSG00000004798"
"759";"ENSMUSG00000004814"
"760";"ENSMUSG00000004815"
"761";"ENSMUSG00000004821"
"762";"ENSMUSG00000004837"
"763";"ENSMUSG00000004842"
"764";"ENSMUSG00000004843"
"765";"ENSMUSG00000004846"
"766";"ENSMUSG00000004849"
"767";"ENSMUSG00000004864"
"768";"ENSMUSG00000004865"
"769";"ENSMUSG00000004872"
"770";"ENSMUSG00000004880"
"771";"ENSMUSG00000004885"
"772";"ENSMUSG00000004891"
"773";"ENSMUSG00000004892"
"774";"ENSMUSG00000004894"
"775";"ENSMUSG00000004895"
"776";"ENSMUSG00000004896"
"777";"ENSMUSG00000004897"
"778";"ENSMUSG00000004902"
"779";"ENSMUSG00000004929"
"780";"ENSMUSG00000004931"
"781";"ENSMUSG00000004933"
"782";"ENSMUSG00000004934"
"783";"ENSMUSG00000004936"
"784";"ENSMUSG00000004937"
"785";"ENSMUSG00000004939"
"786";"ENSMUSG00000004945"
"787";"ENSMUSG00000004947"
"788";"ENSMUSG00000004948"
"789";"ENSMUSG00000004951"
"790";"ENSMUSG00000004952"
"791";"ENSMUSG00000004961"
"792";"ENSMUSG00000004980"
"793";"ENSMUSG00000004988"
"794";"ENSMUSG00000004994"
"795";"ENSMUSG00000004996"
"796";"ENSMUSG00000005034"
"797";"ENSMUSG00000005043"
"798";"ENSMUSG00000005045"
"799";"ENSMUSG00000005054"
"800";"ENSMUSG00000005057"
"801";"ENSMUSG00000005069"
"802";"ENSMUSG00000005078"
"803";"ENSMUSG00000005087"
"804";"ENSMUSG00000005089"
"805";"ENSMUSG00000005102"
"806";"ENSMUSG00000005103"
"807";"ENSMUSG00000005107"
"808";"ENSMUSG00000005124"
"809";"ENSMUSG00000005125"
"810";"ENSMUSG00000005131"
"811";"ENSMUSG00000005142"
"812";"ENSMUSG00000005148"
"813";"ENSMUSG00000005150"
"814";"ENSMUSG00000005161"
"815";"ENSMUSG00000005198"
"816";"ENSMUSG00000005202"
"817";"ENSMUSG00000005204"
"818";"ENSMUSG00000005220"
"819";"ENSMUSG00000005225"
"820";"ENSMUSG00000005232"
"821";"ENSMUSG00000005233"
